Calculation name,Scenario,Line of sight,Frequency,Distance,Heigth of Base Station,Heigth of Media Station,Length of Grid(d1),Width of Grid(d2),Street Width(w),Result
pom 1,C2,NLOS,3.6,10.0,5.0,1.5,,,,75.533
pom 2,C2,NLOS,3.6,15.0,5.0,1.5,,,,82.633
pom 3,C2,NLOS,3.6,20.0,5.0,1.5,,,,87.671
pom 4,C2,NLOS,3.6,25.0,5.0,1.5,,,,91.578
pom 5,C2,NLOS,3.6,30.0,5.0,1.5,,,,94.771
pom 6,C2,NLOS,3.6,35.0,5.0,1.5,,,,97.47
pom 7,C2,NLOS,3.6,40.0,5.0,1.5,,,,99.809
pom 8,C2,NLOS,3.6,45.0,5.0,1.5,,,,101.871
pom 9,C2,NLOS,3.6,50.0,5.0,1.5,,,,103.716
